site,product_name,brand,weight_g,original_price_rub,comparable_price_rub,in_stock,check_status,is_comparable,url,first_seen,last_checked
apeti.ru,Красная икра горбуши вылов 2026 год на развес,Кристалл,100.0,1485.0,1782.0,да,да,да,https://apeti.ru/product/ikra_gorbushi_na_razves_100_g.html,2026-08-06,2026-08-06
apeti.ru,Красная икра горбуши Макаров 200 г,Макаров,200.0,2909.0,1745.4,да,да,да,https://apeti.ru/product/krasnaya_ikra_gorbushi_makarov_200_g.html,2026-08-06,2026-08-06
apeti.ru,Красная икра горбуши Макаров 500 г,Макаров,500.0,7439.0,1785.36,да,да,нет,https://apeti.ru/product/krasnaya_ikra_gorbushi_makarov_500_g.html,2026-08-06,2026-08-06
apeti.ru,Красная икра горбуши Макаров 100 г,Макаров,100.0,1500.0,1800.0,да,да,да,https://apeti.ru/product/krasnaya_ikra_gorbushi_makarov_100_g.html,2026-08-06,2026-08-06
apeti.ru,Красная икра горбуша Золото Сахалина 140 г ж/б,Золото Сахалина,140.0,2442.0,2093.14,да,да,да,https://apeti.ru/product/krasnaya_ikra_gorbusha_zoloto_sakhalina_140_g_zh_b.html,2026-08-06,2026-08-06
apeti.ru,Красная икра горбуша Золото Сахалина 200 г,Золото Сахалина,200.0,3594.0,2156.4,да,да,да,https://apeti.ru/product/krasnaya_ikra_gorbusha_zoloto_sakhalina_200_g.html,2026-08-06,2026-08-06
apeti.ru,Красная икра горбуша Золото Сахалина 90 г,Золото Сахалина,90.0,1661.0,2214.67,да,да,да,https://apeti.ru/product/krasnaya_ikra_gorbusha_zoloto_sakhalina_90_g.html,2026-08-06,2026-08-06
seafood-shop.ru,"Красная икра лососевая зернистая (Горбуша), «Икорный», 200 г. Путина 2026",,200.0,3190.0,1914.0,да,да,да,https://seafood-shop.ru/catalog/krasnaya_ikra/krasnaya_ikra_lososevaya_zernistaya_gorbusha_200_g/,2026-08-06,2026-08-06
seafood-shop.ru,"Красная икра лососевая зернистая (Кета), «Икорный», 200 г. Путина 2026",,200.0,3350.0,2010.0,да,да,нет,https://seafood-shop.ru/catalog/krasnaya_ikra/krasnaya_ikra_lososevaya_zernistaya_keta_200_g/,2026-08-06,2026-08-06
seafood-shop.ru,"Красная икра лососевая зернистая (Нерка), «Икорный», 200 г. Путина 2026",,200.0,3250.0,1950.0,да,да,нет,https://seafood-shop.ru/catalog/krasnaya_ikra/krasnaya-ikra-lososyovaya-zernistaya-nerka-200-g/,2026-08-06,2026-08-06
seafood-shop.ru,"Красная икра лососевая зернистая (Форель), без консервантов, слабосоленая, ""Кала я марьяпоят"", 100 г. Путина 2025",,100.0,1390.0,1668.0,да,да,нет,https://seafood-shop.ru/catalog/krasnaya_ikra/krasnaya-ikra-lososevaya-zernistaya-forel-bez-konservantov-kala-ya-maryapoyat-100-g-putina-2025/,2026-08-06,2026-08-06
seafood-shop.ru,"Масло икорное с икрой лососевых рыб, ""ИКОРНЫЙ"", 100 г",,100.0,290.0,348.0,да,да,нет,https://seafood-shop.ru/catalog/ikra/maslo-ikornoe-s-ikroy-lososevykh-ryb-ikornyy-100g/,2026-08-06,2026-08-06
seafood-shop.ru,"Красная икра лососевая зернистая (Нерка), без консервантов, ""Укинский лиман"", ж/б 125 г. Путина 2025",,125.0,1750.0,1680.0,да,да,нет,https://seafood-shop.ru/catalog/ikra-zamorozhennaya-/ikra-nerki-bez-konservantov-ukinskiy-liman-zh-b-125g/,2026-08-06,2026-08-06
seafood-shop.ru,"Красная икра лососевая зернистая (Кета), без консервантов, ""Укинский лиман"", ж/б 125 г. Путина 2025",,125.0,1750.0,1680.0,да,да,нет,https://seafood-shop.ru/catalog/ikra/ikra-kety-bez-konservantov-ukinskiy-liman-zh-b-125g/,2026-08-06,2026-08-06
seafood-shop.ru,"Красная икра лососевая зернистая (Форель), «Кала я марьяпоят», 120 г. Путина 2025",,120.0,1620.0,1620.0,да,да,нет,https://seafood-shop.ru/catalog/ikra/krasnaya-ikra-lososevaya-zernistaya-forel-kala-ya-maryapoyat-120-g-putina-2025/,2026-08-06,2026-08-06
seafood-shop.ru,"Красная икра лососевая зернистая (Горбуша), «Икорный», 320 г",,320.0,3750.0,1406.25,да,да,нет,https://seafood-shop.ru/catalog/krasnaya_ikra/krasnaya_ikra_lososevaya_zernistaya_gorbusha_320_g/,2026-08-06,2026-08-06
seafood-shop.ru,"Красная икра лососевая зернистая (Кижуч), «Икорный», 200 г. Путина 2025",,200.0,2790.0,1674.0,да,да,нет,https://seafood-shop.ru/catalog/krasnaya_ikra/krasnaya_ikra_lososevaya_zernistaya_kizhuch_200_g/,2026-08-06,2026-08-06
seafood-shop.ru,"Красная икра лососевая зернистая (Горбуша), «Икорный», 500 г. Путина 2025",,500.0,4220.0,1012.8,да,да,нет,https://seafood-shop.ru/catalog/krasnaya_ikra/krasnaya_ikra_lososevaya_zernistaya_gorbusha_500_g/,2026-08-06,2026-08-06
seafood-shop.ru,"Красная икра лососевая зернистая (Горбуша) ж/б, 110 г. Путина 2025",,110.0,999.0,1089.82,да,да,да,https://seafood-shop.ru/catalog/ikra-lososya/krasnaya_ikra_lososevaya_zernistaya_gorbusha_zh_b_110_g/,2026-08-06,2026-08-06
seafood-shop.ru,"Красная икра лососевая зернистая (Кета), без консервантов, «Дикий улов», 200 г. Путина 2025",,200.0,2990.0,1794.0,да,да,нет,https://seafood-shop.ru/catalog/ikra_bez_konservantov/krasnaya_ikra_lososevaya_zernistaya_keta_bez_konservantov_dikiy_ulov_200_g/,2026-08-06,2026-08-06
seafood-shop.ru,"Красная икра лососевая зернистая (Форель), «Икорный», 200 г. Путина 2025",,200.0,1790.0,1074.0,да,да,нет,https://seafood-shop.ru/catalog/krasnaya_ikra/krasnaya_ikra_lososevaya_zernistaya_forel_200_g/,2026-08-06,2026-08-06
